,,, pm25, pm25, pm25
,,,min,max,mean
date,date,City,,,
2017,6,Gwanak-Gu,50.0,122.0,85.83333333333333
2017,6,Jeongnim-Dong,35.0,111.0,63.43333333333333
2017,6,Jungang-Way,28.0,113.0,68.9
2017,6,Juwol-Dong,29.0,94.0,67.06666666666666
2017,6,Nowon-Gu,30.0,109.0,70.8
2017,6,Pado-Ri,,,
2017,6,Seolseong-Myeon,,,
2017,7,Bangsan-Myeon,,,
2017,7,Geumchon-Dong,48.0,106.0,68.0
2017,7,Gwanak-Gu,36.0,121.0,75.91666666666667
2017,7,Jeongnim-Dong,33.0,81.0,50.44444444444444
2017,7,Jungang-Way,40.0,104.0,61.63636363636363
2017,7,Juwol-Dong,26.0,73.0,42.625
2017,7,Nowon-Gu,50.0,94.0,71.11111111111111
2017,7,Pado-Ri,,,
2017,7,Seolseong-Myeon,,,
2017,8,Geumchon-Dong,47.0,65.0,56.0
2017,8,Gwanak-Gu,29.0,62.0,44.4
2017,8,Jungang-Way,31.0,81.0,54.833333333333336
2017,8,Pado-Ri,,,
2017,8,Seolseong-Myeon,,,
2017,9,Bangsan-Myeon,,,
2017,9,Geumchon-Dong,17.0,101.0,69.28571428571429
2017,9,Gwanak-Gu,29.0,99.0,63.375
2017,9,Jeongnim-Dong,40.0,83.0,62.285714285714285
2017,9,Jungang-Way,16.0,103.0,57.285714285714285
2017,9,Juwol-Dong,46.0,122.0,78.14285714285714
2017,9,Nowon-Gu,34.0,109.0,73.75
2017,9,Pado-Ri,,,
2017,9,Paju,32.0,95.0,67.0
2017,9,Seolseong-Myeon,,,
2017,10,Bangsan-Myeon,,,
2017,10,Geumchon-Dong,21.0,131.0,65.3225806451613
2017,10,Gwanak-Gu,23.0,98.0,48.645161290322584
2017,10,Jeongnim-Dong,22.0,115.0,52.241379310344826
2017,10,Jungang-Way,7.0,74.0,40.70967741935484
2017,10,Juwol-Dong,31.0,156.0,67.90322580645162
2017,10,Nowon-Gu,20.0,108.0,59.516129032258064
2017,10,Pado-Ri,,,
2017,10,Paju,27.0,106.0,60.903225806451616
2017,10,Seolseong-Myeon,,,
2017,11,Bangsan-Myeon,,,
2017,11,Geumchon-Dong,43.0,163.0,93.6
2017,11,Gwanak-Gu,20.0,106.0,62.733333333333334
2017,11,Jeongnim-Dong,35.0,115.0,71.96666666666667
2017,11,Jungang-Way,27.0,123.0,76.66666666666667
2017,11,Juwol-Dong,35.0,149.0,91.9
2017,11,Nowon-Gu,40.0,141.0,78.46666666666667
2017,11,Paju,39.0,131.0,79.46666666666667
2017,11,Seolseong-Myeon,,,
2017,12,Bangsan-Myeon,,,
2017,12,Geumchon-Dong,46.0,181.0,101.16129032258064
2017,12,Gwanak-Gu,34.0,173.0,88.35483870967742
2017,12,Jeongnim-Dong,38.0,156.0,74.6774193548387
2017,12,Jungang-Way,31.0,171.0,87.41935483870968
2017,12,Juwol-Dong,33.0,162.0,84.48387096774194
2017,12,Nowon-Gu,45.0,169.0,90.03225806451613
2017,12,Pado-Ri,,,
2017,12,Paju,42.0,165.0,91.51612903225806
2017,12,Seolseong-Myeon,,,
2018,1,Bangsan-Myeon,,,
2018,1,Geumchon-Dong,42.0,173.0,98.7741935483871
2018,1,Gwanak-Gu,35.0,174.0,91.6774193548387
2018,1,Jeongnim-Dong,35.0,149.0,83.09677419354838
2018,1,Jungang-Way,29.0,156.0,92.74193548387096
2018,1,Juwol-Dong,33.0,159.0,84.83870967741936
2018,1,Nowon-Gu,41.0,163.0,87.6
2018,1,Pado-Ri,,,
2018,1,Paju,45.0,163.0,89.64516129032258
2018,1,Seolseong-Myeon,,,
2018,2,Bangsan-Myeon,,,
2018,2,Geumchon-Dong,42.0,168.0,89.39285714285714
2018,2,Gwanak-Gu,51.0,149.0,91.5
2018,2,Jeongnim-Dong,49.0,151.0,78.42857142857143
2018,2,Jungang-Way,46.0,148.0,86.53571428571429
2018,2,Juwol-Dong,49.0,162.0,86.71428571428571
2018,2,Nowon-Gu,48.0,152.0,87.10714285714286
2018,2,Pado-Ri,,,
2018,2,Paju,45.0,152.0,83.82142857142857
2018,2,Sangjusi,66.0,84.0,78.25
2018,2,Seolseong-Myeon,,,
2018,2,Seonggeoeup,117.0,161.0,140.0
2018,3,Bangsan-Myeon,,,
2018,3,Geumchon-Dong,16.0,179.0,91.51612903225806
