,,, co, co, co
,,,min,max,mean
date,date,City,,,
2017,5,Seolseong-Myeon,2.0,6.0,4.258064516129032
2017,6,Bangsan-Myeon,1.0,5.0,2.64
2017,6,Geumchon-Dong,4.0,7.0,5.233333333333333
2017,6,Gwanak-Gu,2.0,5.0,3.8333333333333335
2017,6,Jeongnim-Dong,2.0,5.0,3.7
2017,6,Jungang-Way,1.0,4.0,2.5
2017,6,Juwol-Dong,2.0,5.0,3.2
2017,6,Nowon-Gu,3.0,7.0,4.433333333333334
2017,6,Pado-Ri,1.0,4.0,1.92
2017,6,Seolseong-Myeon,2.0,8.0,4.966666666666667
2017,7,Bangsan-Myeon,2.0,3.0,2.857142857142857
2017,7,Geumchon-Dong,5.0,7.0,5.818181818181818
2017,7,Gwanak-Gu,2.0,5.0,3.25
2017,7,Jeongnim-Dong,2.0,3.0,2.5
2017,7,Jungang-Way,1.0,4.0,2.090909090909091
2017,7,Juwol-Dong,1.0,3.0,1.75
2017,7,Nowon-Gu,3.0,5.0,3.75
2017,7,Pado-Ri,2.0,3.0,2.6
2017,7,Seolseong-Myeon,2.0,4.0,2.625
2017,8,Geumchon-Dong,7.0,7.0,7.0
2017,8,Gwanak-Gu,2.0,5.0,3.5
2017,8,Jungang-Way,1.0,3.0,1.6
2017,8,Pado-Ri,2.0,4.0,3.0
2017,8,Seolseong-Myeon,3.0,5.0,4.0
2017,9,Bangsan-Myeon,2.0,5.0,3.375
2017,9,Geumchon-Dong,4.0,8.0,6.25
2017,9,Gwanak-Gu,3.0,6.0,4.777777777777778
2017,9,Jeongnim-Dong,3.0,6.0,4.375
2017,9,Jungang-Way,3.0,7.0,5.0
2017,9,Juwol-Dong,3.0,7.0,5.125
2017,9,Nowon-Gu,4.0,5.0,4.666666666666667
2017,9,Pado-Ri,1.0,5.0,2.6666666666666665
2017,9,Paju,2.0,4.0,2.75
2017,9,Seolseong-Myeon,2.0,5.0,4.0
2017,10,Bangsan-Myeon,1.0,5.0,3.111111111111111
2017,10,Geumchon-Dong,4.0,8.0,5.516129032258065
2017,10,Gwanak-Gu,2.0,8.0,4.709677419354839
2017,10,Jeongnim-Dong,2.0,6.0,4.096774193548387
2017,10,Jungang-Way,3.0,7.0,4.766666666666667
2017,10,Juwol-Dong,3.0,7.0,4.387096774193548
2017,10,Nowon-Gu,3.0,8.0,5.0
2017,10,Pado-Ri,,,
2017,10,Paju,2.0,5.0,2.642857142857143
2017,10,Seolseong-Myeon,1.0,7.0,3.2903225806451615
2017,11,Bangsan-Myeon,2.0,7.0,4.133333333333334
2017,11,Geumchon-Dong,4.0,11.0,6.5
2017,11,Gwanak-Gu,3.0,10.0,5.866666666666666
2017,11,Jeongnim-Dong,3.0,9.0,4.733333333333333
2017,11,Jungang-Way,2.0,14.0,6.866666666666666
2017,11,Juwol-Dong,2.0,12.0,6.266666666666667
2017,11,Nowon-Gu,3.0,14.0,6.666666666666667
2017,11,Paju,2.0,6.0,3.413793103448276
2017,11,Seolseong-Myeon,1.0,8.0,4.133333333333334
2017,12,Bangsan-Myeon,1.0,10.0,4.870967741935484
2017,12,Geumchon-Dong,5.0,14.0,8.709677419354838
2017,12,Gwanak-Gu,2.0,11.0,5.161290322580645
2017,12,Jeongnim-Dong,4.0,8.0,5.741935483870968
2017,12,Jungang-Way,3.0,41.0,10.870967741935484
2017,12,Juwol-Dong,3.0,11.0,6.483870967741935
2017,12,Nowon-Gu,3.0,15.0,7.806451612903226
2017,12,Pado-Ri,2.0,9.0,4.75
2017,12,Paju,3.0,7.0,4.483870967741935
