,,, no2, no2, no2
,,,min,max,mean
date,date,City,,,
2017,1,Gwanak-Gu,17.0,80.0,41.29032258064516
2017,1,Jeongnim-Dong,11.0,36.0,23.129032258064516
2017,1,Jungang-Way,6.0,38.0,20.741935483870968
2017,1,Juwol-Dong,11.0,48.0,28.612903225806452
2017,1,Nowon-Gu,11.0,62.0,34.32258064516129
2017,1,Pado-Ri,3.0,28.0,8.225806451612904
2017,1,Seolseong-Myeon,7.0,26.0,15.64516129032258
2017,2,Bangsan-Myeon,3.0,15.0,5.785714285714286
2017,2,Geumchon-Dong,13.0,51.0,27.571428571428573
2017,2,Gwanak-Gu,19.0,78.0,42.25
2017,2,Jeongnim-Dong,11.0,44.0,21.857142857142858
2017,2,Jungang-Way,4.0,38.0,19.071428571428573
2017,2,Juwol-Dong,14.0,49.0,26.928571428571427
2017,2,Nowon-Gu,11.0,72.0,34.785714285714285
2017,2,Pado-Ri,3.0,32.0,7.857142857142857
2017,2,Seolseong-Myeon,6.0,25.0,12.75
2017,3,Bangsan-Myeon,2.0,9.0,6.096774193548387
2017,3,Geumchon-Dong,13.0,41.0,27.032258064516128
2017,3,Gwanak-Gu,19.0,82.0,42.74193548387097
2017,3,Jeongnim-Dong,10.0,28.0,18.451612903225808
2017,3,Jungang-Way,4.0,24.0,12.612903225806452
2017,3,Juwol-Dong,15.0,47.0,28.806451612903224
2017,3,Nowon-Gu,12.0,61.0,35.516129032258064
2017,3,Pado-Ri,4.0,19.0,8.933333333333334
2017,3,Seolseong-Myeon,7.0,23.0,12.580645161290322
2017,4,Bangsan-Myeon,2.0,8.0,4.2
2017,4,Geumchon-Dong,11.0,37.0,19.8
2017,4,Gwanak-Gu,16.0,52.0,30.033333333333335
2017,4,Jeongnim-Dong,9.0,30.0,14.8
2017,4,Jungang-Way,6.0,20.0,12.933333333333334
2017,4,Juwol-Dong,14.0,42.0,21.8
2017,4,Nowon-Gu,11.0,52.0,29.5
2017,4,Pado-Ri,4.0,28.0,9.2
2017,4,Seolseong-Myeon,6.0,16.0,9.333333333333334
2017,5,Bangsan-Myeon,1.0,7.0,3.4838709677419355
2017,5,Geumchon-Dong,9.0,25.0,16.967741935483872
2017,5,Gwanak-Gu,13.0,45.0,24.806451612903224
2017,5,Jeongnim-Dong,7.0,17.0,11.709677419354838
2017,5,Jungang-Way,6.0,22.0,11.451612903225806
2017,5,Juwol-Dong,11.0,32.0,19.741935483870968
2017,5,Nowon-Gu,10.0,43.0,27.129032258064516
2017,5,Pado-Ri,3.0,15.0,7.096774193548387
2017,5,Seolseong-Myeon,6.0,16.0,10.709677419354838
2017,6,Bangsan-Myeon,1.0,3.0,2.066666666666667
2017,6,Geumchon-Dong,8.0,25.0,13.4
2017,6,Gwanak-Gu,12.0,42.0,21.666666666666668
2017,6,Jeongnim-Dong,8.0,21.0,12.366666666666667
