,,, so2, so2, so2
,,,min,max,mean
date,date,City,,,
2017,5,Jungang-Way,2.0,7.0,4.0
2017,5,Juwol-Dong,2.0,7.0,3.870967741935484
2017,5,Nowon-Gu,3.0,9.0,5.290322580645161
2017,5,Pado-Ri,2.0,7.0,3.3870967741935485
2017,5,Seolseong-Myeon,2.0,5.0,2.967741935483871
2017,6,Bangsan-Myeon,2.0,2.0,2.0
2017,6,Geumchon-Dong,2.0,6.0,3.6296296296296298
2017,6,Gwanak-Gu,4.0,10.0,6.321428571428571
2017,6,Jeongnim-Dong,1.0,4.0,2.3076923076923075
2017,6,Jungang-Way,2.0,5.0,3.0384615384615383
2017,6,Juwol-Dong,2.0,7.0,4.461538461538462
2017,6,Nowon-Gu,3.0,8.0,4.103448275862069
2017,6,Pado-Ri,2.0,8.0,3.933333333333333
2017,6,Seolseong-Myeon,1.0,4.0,2.1739130434782608
2017,7,Bangsan-Myeon,,,
2017,7,Geumchon-Dong,3.0,5.0,3.909090909090909
2017,7,Gwanak-Gu,6.0,9.0,6.909090909090909
2017,7,Jeongnim-Dong,1.0,1.0,1.0
2017,7,Jungang-Way,1.0,2.0,1.25
2017,7,Juwol-Dong,3.0,4.0,3.4
2017,7,Nowon-Gu,2.0,3.0,2.875
2017,7,Pado-Ri,1.0,5.0,2.142857142857143
2017,7,Seolseong-Myeon,,,
2017,8,Geumchon-Dong,2.0,2.0,2.0
2017,8,Gwanak-Gu,6.0,9.0,7.0
2017,8,Jungang-Way,5.0,5.0,5.0
2017,8,Pado-Ri,2.0,6.0,3.75
2017,8,Seolseong-Myeon,1.0,2.0,1.6666666666666667
2017,9,Bangsan-Myeon,2.0,2.0,2.0
2017,9,Geumchon-Dong,3.0,6.0,4.285714285714286
2017,9,Gwanak-Gu,6.0,9.0,7.444444444444445
2017,9,Jeongnim-Dong,1.0,3.0,2.0
2017,9,Jungang-Way,3.0,4.0,3.4285714285714284
2017,9,Juwol-Dong,1.0,8.0,4.125
2017,9,Nowon-Gu,1.0,4.0,2.625
2017,9,Pado-Ri,1.0,2.0,1.8571428571428572
2017,9,Paju,1.0,4.0,2.2857142857142856
